Locali,Prezzi,Media prezzo:
"Attico via dei Pioppi 40, Centocelle, Roma",€ 138.000,0
"Attico via degli Ontani 32, Centocelle, Roma",€ 169.000,0
"Attico via Giacomo Bresadola, Centocelle, Roma",€ 295.000,0
"Attico via delle Rose, Centocelle, Roma",€ 240.000,0
"Attico via degli Olivi, Centocelle, Roma",€ 215.000,0
"Attico via dei Lauri 67, Centocelle, Roma",€ 229.000,0
"Attico via degli Anemoni 22, Centocelle, Roma",€ 209.000,0
"Attico via delle Liane 14, Centocelle, Roma",€ 235.000,0
"Attico via delle Sequoie 46, Centocelle, Roma",€ 429.000,0
"Attico via degli Olivi, Centocelle, Roma",€ 315.000,0
"Attico via degli Olivi 58, Centocelle, Roma",€ 280.000,0
"Attico via delle Palme 202, Centocelle, Roma",€ 279.000,0
"Attico via dei Narcisi 19, Centocelle, Roma",€ 320.000,0
"Attico via dei Gerani 67, Centocelle, Roma",€ 359.000,0
"Attico via dei Pioppi 61, Centocelle, Roma",€ 235.000,0
"Attico via Filippo Smaldone, Centocelle, Roma",€ 380.000,0
"Attico piazzale delle Gardenie 12, Centocelle, Roma",€ 295.000,0
"Attico via dei Frassini 24, Centocelle, Roma",€ 195.000,0
"Attico da ristrutturare, 100 m², Centocelle, Roma",€ 320.000,0
"Attico viale della Primavera 119, Centocelle, Roma",€ 415.000,0
"Attico via degli Aceri, Centocelle, Roma",€ 420.000,0
"Attico via delle Palme, Centocelle, Roma",€ 139.000,0
"Attico via degli Aceri, Centocelle, Roma",€ 200.000,0
"Attico via degli Aceri, Centocelle, Roma",€ 220.000,0
"Attico via dei Gelsi, Centocelle, Roma",€ 195.000,0
