Locali,Prezzi,Media prezzo:
"Bilocale via Ceprano 45, Centocelle, Roma",€ 169.000,0
"Monolocale via dei Glicini, Centocelle, Roma",€ 95.000,0
"Trilocale viale Marco Fulvio Nobiliore 151, Cinecittà, Roma",€ 290.000,0
"Monolocale via Delle Azalee, Centocelle, Roma",€ 139.000,0
"Trilocale via DEI PAMPINI, Centocelle, Roma","€ 275.000€ 290.000(-5,2%)",0
"Bilocale via dei Narcisi, Centocelle, Roma",€ 200.000,0
"Bilocale via Valmontone 45, Centocelle, Roma",€ 200.000,0
"Quadrilocale via delle Acacie 31C, Centocelle, Roma",€ 339.000,0
"Trilocale via Domenico Panaroli, Centocelle, Roma",€ 329.000,0
"Bilocale via degli Olivi 90, Centocelle, Roma",€ 165.000,0
"Bilocale via Filippo Smaldone, Centocelle, Roma",€ 199.000,0
"Trilocale via delle Albizzie, Centocelle, Roma",€ 199.000,0
"Monolocale piazza delle Iris, Centocelle, Roma",€ 100.000,0
"Trilocale via delle Mimose 26, Centocelle, Roma",€ 167.000,0
"Trilocale via delle Palme 188, Centocelle, Roma",€ 289.000,0
"Bilocale via degli Ontani, Centocelle, Roma",€ 205.000,0
"Trilocale via degli Elci 16, Centocelle, Roma",€ 207.000,0
"Trilocale via Tor de' Schiavi 168, Centocelle, Roma",€ 210.000,0
"Bilocale via dei Gelsi 76, Centocelle, Roma",€ 137.000,0
"Bilocale via delle Palme, Centocelle, Roma",€ 125.000,0
"Bilocale via Livia Drusilla, Cinecittà, Roma",€ 220.000,0
"Trilocale via delle Robinie 63, Centocelle, Roma",€ 249.000,0
"Monolocale via degli Anemoni, Centocelle, Roma",€ 145.000,0
"Bilocale via dei Castani 44, Centocelle, Roma",€ 150.000,0
"Bilocale via delle Albizzie, Centocelle, Roma",€ 199.000,0
"Monolocale via degli Olivi, Centocelle, Roma",€ 103.000,0
"Bilocale via dei Frassini, 100, Centocelle, Roma",€ 165.000,0
"Monolocale via degli Anemoni, Centocelle, Roma",€ 85.000,0
"Bilocale piazza dei Pini, Centocelle, Roma",€ 155.000,0
"Quadrilocale via dei Ciclamini, Centocelle, Roma",€ 450.000,0
"Trilocale via dei Noci 17, Centocelle, Roma",€ 239.000,0
"Bilocale via Ferdinando Bassi, Centocelle, Roma",€ 139.000,0
"Bilocale via degli Arbusti 1, Centocelle, Roma",€ 159.000,0
"Trilocale via Tor De Schiavi, 0, Centocelle, Roma",€ 259.000,0
"Bilocale via Delle Rose, Centocelle, Roma",€ 150.000,0
"Bilocale via Tor Dè Schiavi, 349, Tor de' Schiavi, Roma",€ 145.000,0
"Trilocale via del Vivaio, Centocelle, Roma",€ 208.000,0
"Trilocale via dei Gelsi 85, Centocelle, Roma",€ 200.000,0
"Trilocale via delle Robinie, Centocelle, Roma",€ 245.000,0
"Trilocale via Giovanni Gussone, 30, 00171 Roma Italia, Centocelle, Roma",€ 250.000,0
"Trilocale via Dei Ginepri 66, Centocelle, Roma","€ 329.000€ 349.000(-5,7%)",0
"Trilocale via dei Frassini 61, Centocelle, Roma",€ 204.000,0
"Monolocale via dei Glicini 30, Centocelle, Roma",€ 89.000,0
"Bilocale via degli Abeti 11, Centocelle, Roma",€ 150.000,0
"Trilocale via Domenico Panaroli, 41, Centocelle, Roma",€ 290.000,0
"Bilocale via degli Olivi, Centocelle, Roma",€ 163.000,0
"Trilocale via Federico Delpino, Centocelle, Roma",€ 219.000,0
"Quadrilocale via degli Abeti, Centocelle, Roma",€ 259.000,0
"Trilocale via dei Ciclamini, Centocelle, Roma",€ 209.000,0
"Trilocale via Filippo Smaldone 69, Centocelle, Roma",€ 270.000,0
"Trilocale via dei Frassini 48, Centocelle, Roma",€ 395.000,0
"Bilocale via delle Rose 152, Centocelle, Roma",€ 179.000,0
"Bilocale piazza dei Gerani 51, Centocelle, Roma",€ 245.000,0
"Trilocale piazza delle Peonie 5, Centocelle, Roma",€ 219.000,0
"Trilocale viale Palmiro Togliatti 750, Alessandrino - Torre Spaccata, Roma",€ 185.000,0
"Bilocale piazza di San Felice da Cantalice 5, Centocelle, Roma",€ 177.000,0
"Trilocale via dei Platani 43, Centocelle, Roma",€ 210.000,0
"Trilocale piazza delle Peonie 5, Centocelle, Roma",€ 229.000,0
"Bilocale via delle Acacie, Centocelle, Roma",€ 165.000,0
"Trilocale via dei Licheni 38, Centocelle, Roma",€ 209.000,0
"Trilocale via delle Acacie 96, Centocelle, Roma",€ 245.000,0
"Trilocale via degli Aceri 127, Centocelle, Roma",€ 169.000,0
"Bilocale via delle Liane 13, Centocelle, Roma",€ 189.000,0
"Bilocale via delle Ninfee 25, Centocelle, Roma",€ 179.000,0
"Bilocale via delle Robinie 210, Centocelle, Roma",€ 129.000,0
"Quadrilocale viale Marco Fulvio Nobiliore 153, Cinecittà, Roma",€ 235.000,0
"Trilocale via dei Noci 81, Centocelle, Roma",€ 229.000,0
"Trilocale via dei Platani 64, Centocelle, Roma",€ 285.000,0
"Bilocale via Ferentino 50, Centocelle, Roma",€ 145.000,0
"Quadrilocale via Carpineto 48, Centocelle, Roma",€ 208.000,0
"Trilocale via delle Betulle 134, Centocelle, Roma",€ 210.000,0
"Bilocale via dei Calicanti 7, Centocelle, Roma",€ 159.000,0
"Bilocale via degli Anemoni, Centocelle, Roma",€ 159.000,0
"Bilocale via dei Narcisi 20, Centocelle, Roma",€ 147.000,0
"Trilocale via delle Acacie 116, Centocelle, Roma",€ 159.000,0
"Trilocale viale Palmiro Togliatti 514, Alessandrino - Torre Spaccata, Roma",€ 169.000,0
"Trilocale via Castore Durante 78, Centocelle, Roma",€ 269.000,0
"Bilocale via Vincenzo Menasi 18, Centocelle, Roma",€ 109.000,0
"Monolocale via degli Olivi, Centocelle, Roma",€ 124.000,0
"Bilocale via degli Olivi, Centocelle, Roma",€ 228.000,0
"Trilocale via dei Ciclamini, Centocelle, Roma",€ 187.000,0
"Trilocale via delle Palme, Centocelle, Roma",€ 209.000,0
