Locali,Prezzi,Media prezzo:
"Villa bifamiliare via Azzano d'Asti, Collina delle Muse, Roma",€ 479.000,0
"Villa plurifamiliare via del Podere di San Giusto, Torresina, Roma",€ 579.000,0
"Villa bifamiliare via Fraconalto, Collina delle Muse, Roma",€ 530.000,0
"Villa unifamiliare via Del Podere Di San Giusto 122, Torresina, Roma",€ 529.000,0
"Villa bifamiliare via Edoardo Ferravilla, Battistini - Primavalle, Roma",€ 359.000,0
"Villa unifamiliare via di Boccea 453, Collina delle Muse, Roma",€ 440.000,0
"Villa unifamiliare via Ricaldone, Collina delle Muse, Roma",€ 599.000,0
"Villa unifamiliare via Almese 46, Collina delle Muse, Roma",€ 795.000,0
"Villa bifamiliare via Beinasco 23, Collina delle Muse, Roma","€ 500.000€ 560.000(-10,7%)",0
"Villa bifamiliare via Augusto Tebaldi 52, Torrevecchia, Roma",€ 499.000,0
"Villa plurifamiliare via Belvedere Montello, Collina delle Muse, Roma",€ 477.000,0
"Villa unifamiliare, ottimo stato, 343 m², Collina delle Muse, Roma",€ 650.000,0
"Villa unifamiliare via Francesco Fede, Collina delle Muse, Roma",€ 390.000,0
"Villa unifamiliare via Monte del Marmo, Collina delle Muse, Roma",€ 310.000,0
"Villa bifamiliare via boccea 541, Collina delle Muse, Roma",€ 289.000,0
"Villa bifamiliare via Ottiglio 37, Collina delle Muse, Roma",€ 549.000,0
"Villa bifamiliare via Monti di Primavalle, Battistini - Primavalle, Roma",€ 339.000,0
"Villa bifamiliare via Monte del Marmo, Collina delle Muse, Roma",€ 310.000,0
"Villa bifamiliare via Fausta Labia, Battistini - Primavalle, Roma",€ 320.000,0
"Villa unifamiliare via Emidio Tassi, Collina delle Muse, Roma",€ 880.000,0
"Appartamento in villa via Belvedere Montello, Collina delle Muse, Roma",€ 245.000,0
"Villa plurifamiliare via Giambattista Soria, Battistini - Primavalle, Roma",€ 519.000,0
"Villa bifamiliare via Sandigliano, Torresina, Roma",€ 550.000,0
"Villa plurifamiliare via Grondona, Collina delle Muse, Roma",€ 399.000,0
"Villa unifamiliare via di Boccea 453, Collina delle Muse, Roma",€ 439.000,0
"Villa bifamiliare via Beinasco, Collina delle Muse, Roma",€ 350.000,0
"Villa plurifamiliare via Pian del Marmo, Collina delle Muse, Roma",€ 220.000,0
"Villa unifamiliare via Belvedere Montello, Collina delle Muse, Roma",€ 680.000,0
"Villa unifamiliare via Cesare Castiglioni, Torrevecchia, Roma",€ 680.000,0
"Villa plurifamiliare via Monte del Marmo, Collina delle Muse, Roma",€ 490.000,0
"Villa unifamiliare via del Podere Zara 140, Torresina, Roma",€ 2.800.000,0
